"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0300","Rue Anizon","NANTES","Anizon","PUBLIQUE","NANTES Place Paul Emile Ladmirault","NANTES Place de la Monnaie","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"0304","Rue d'Anjou","NANTES","Anjou","PUBLIQUE","NANTES Rue Noire","NANTES Rue du Maine","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"7572","Avenue Sainte Anne","NANTES","Anne","PUBLIQUE","NANTES Place des Garennes","NANTES Rue Saint Gohard","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"2596","Place de la Duchesse Anne","NANTES","Anne","PUBLIQUE","NANTES Rue Prémion","NANTES Rue Henri IV","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"0314","Avenue Antarès","NANTES","Antarès","PRIVEE","NANTES Route de Sainte Luce","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"0318","Boulevard des Antilles","NANTES","Antilles","MIXTE","NANTES Quai Président Wilson","NANTES Boulevard de la Prairie au Duc","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"0341","Quai des Antilles","NANTES","Antilles","MIXTE","NANTES Boulevard de la Prairie au Duc","NANTES Boulevard des Antilles","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"0317","Avenue des Antilopes","NANTES","Antilopes","PRIVEE","NANTES Boulevard Auguste Péneau","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"7540","Rue Saint Antoine","NANTES","Antoine","PUBLIQUE","NANTES Rue de la Carterie","NANTES Rue de Châteaulin","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"5085","Rue Louise Antonini","NANTES","Antonini","PUBLIQUE","NANTES Rue Danton","NANTES Rue Danton","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"3956","Rue Guillaume Apollinaire","NANTES","Apollinaire","PRIVEE","NANTES Rue de Pessac","ST-HERBLAIN Boulevard Winston Churchill","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0340","Rue Nicolas Appert","NANTES","Appert","PUBLIQUE","NANTES Rue de la Ville en Bois","NANTES Place Emile Zola","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"0342","Avenue des Aquarelles","NANTES","Aquarelles","PRIVEE","NANTES Route de Saint Joseph","NANTES Avenue du Val d'Erdre","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"0345","Impasse Arago","NANTES","Arago","PRIVEE","NANTES Rue Arago","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"0344","Rue Arago","NANTES","Arago","PUBLIQUE","NANTES Rue Amiral Du Chaffault","NANTES Boulevard de la Liberté","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"4500","Rue Jeanne d'Arc","NANTES","Arc","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Rue Jean Jaurès","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0347","Avenue de l'Arche","NANTES","Arche","PRIVEE","NANTES Rue Condorcet","NANTES Avenue des Dervallières","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"0349","Impasse Archimède","NANTES","Archimède","PRIVEE","NANTES Chemin du Sas au Vin","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0350","Avenue de l'Archipel","NANTES","Archipel","PRIVEE","NANTES Rue de la Grange au Loup","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"0351","Rue des Architectes","NANTES","Architectes","PUBLIQUE","NANTES Place François II","NANTES Place des Erables","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"0352","Rue Arégnaudeau","NANTES","Arégnaudeau","PUBLIQUE","NANTES Rue de la Barbinais","NANTES Rue Joseph Blanchart","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
